FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
57,HR2024AC43,Uncle,Ajay Singh Chautala,"MP (Lok Sabha/Rajya Sabha), MLA",1989-1991 (MP LS); 2004-2008 (MP RS); Multiple terms MLA,Various,Various,Haryana
58,HR2024AC43,Uncle,Abhay Singh Chautala,"MLA, Leader of Opposition Haryana Vidhan Sabha",2000-2024 (MLA),Ellenabad,Sirsa,Haryana
59,HR2024AC43,Uncle,Ranjit Singh Chautala,"MLA, State Cabinet Minister, MP Rajya Sabha",Rajya Sabha MP 1990-1992; MLA and Minister various terms,Rania (recent MLA),Sirsa,Haryana
60,HR2024AC43,First Cousin,Dushyant Chautala,"Deputy Chief Minister of Haryana, MP (Lok Sabha)","2014-2019 (MP); 2019-2024 (Deputy CM, MLA)",Uchana Kalan (MLA),Jind,Haryana
61,HR2024AC43,First Cousin,Digvijay Chautala,"MLA (2024), JJP Secretary General, Contested Rania/Dabwali (multiple times)","2024 (MLA), previous unsuccessful contests 2019","Rania (current MLA), Dabwali/Sonipat (contested)","Sirsa, Sonipat",Haryana
62,HR2024AC43,First Cousin,Arjun Chautala,MLA,2024–present,Rania,Sirsa,Haryana
63,HR2024AC44,Father,Abhay Singh Chautala,"Member of Legislative Assembly (Ellenabad); Leader of the Opposition, Haryana Vidhan Sabha","Multiple terms, including 2014-2019 (as Leader of Opposition)",Ellenabad,Sirsa,Haryana
64,HR2024AC44,Grandfather,Om Prakash Chautala,Chief Minister of Haryana (four terms); Member of Legislative Assembly,"1989-1990, 1990, 1991, 1999-2005 (as CM)","Various (including Rori, Narwana, Uchana Kalan, Ellenabad)","Sirsa, Jind, Fatehabad",Haryana
65,HR2024AC44,Great-Grandfather,Chaudhary Devi Lal,Deputy Prime Minister of India; Chief Minister of Haryana; Member of Parliament (Lok Sabha/Rajya Sabha) and Member of Legislative Assembly,"1977-1979, 1987-1989 (as CM); 1989-1991 (as Deputy PM)","Various (including Rori, Sirsa, Fatehabad)","Sirsa, Fatehabad",Haryana
66,HR2024AC44,Cousin,Dushyant Chautala,Deputy Chief Minister of Haryana; Member of Legislative Assembly (Uchana Kalan); Member of Parliament (Lok Sabha),2019-2024 (as Deputy CM); 2014-2019 (as MP); MLA: 2019-2024,"Uchana Kalan (Vidhan Sabha), Hisar (Lok Sabha)","Jind (Vidhan Sabha), Hisar (Lok Sabha)",Haryana
67,HR2024AC44,Uncle,Ajay Singh Chautala,"Member of Legislative Assembly (Haryana and Rajasthan); Member of Parliament (Lok Sabha, Rajya Sabha)",Various terms since 1989,"Dabwali (Haryana), Danta Ramgarh (Rajasthan), Bhiwani (Lok Sabha)","Sirsa (Haryana), Sikar (Rajasthan), Bhiwani","Haryana, Rajasthan"
68,HR2024AC44,Granduncle,Ranjit Singh Chautala,"Member of Legislative Assembly; Cabinet Minister, Haryana; Former Member of Parliament (Rajya Sabha)",Multiple terms; Minister (2019-2024),Rania,Sirsa,Haryana
69,HR2024AC44,Cousin,Digvijay Chautala,"Contested: Member of Legislative Assembly (Jind, Sonipat, Dabwali); General Secretary, Jannayak Janta Party","Contested: 2019, 2020, 2024","Jind, Sonipat, Dabwali","Jind, Sonipat, Sirsa",Haryana
70,HR2024AC44,Cousin,Aditya Chautala,"Member, Zila Parishad; Contested: Member of Legislative Assembly (Dabwali)",Current (Zila Parishad); Contested 2024 (MLA),Dabwali,Sirsa,Haryana
71,HR2024AC44,Cousin,Amit Sihag,Member of Legislative Assembly,Present,Dabwali,Sirsa,Haryana
72,HR2024AC44,Cousin,Sunaina Chautala,"Contested: Member of Legislative Assembly (Fatehabad), Lok Sabha candidate (Hisar)","Contested 2019 (Lok Sabha), 2024 (MLA)","Fatehabad, Hisar","Fatehabad, Hisar",Haryana
73,HR2024AC44,Brother,Karan Singh Chautala,"Chairman, Sirsa District Council",Current,N/A,Sirsa,Haryana
74,HR2024AC45,Maternal Grandfather,Laxman Das Arora,"Five-time MLA, Minister","Multiple terms (dates not specified, up to 2009)",Sirsa,Sirsa,Haryana
75,HR2024AC45,Mother,Sunita Setia,Contested MLA,"2014 (contested, not elected)",Sirsa,Sirsa,Haryana
76,HR2024AC46,Cousin,Pawan Beniwal,Contested as BJP candidate from Ellenabad in 2019 and Congress candidate from Ellenabad in 2021 bypoll; prominent local Congress leader,2019 (BJP); 2021 bypoll (Congress),Ellenabad,Sirsa,Haryana
77,HR2024AC46,Sister-in-law,Santosh Beniwal,"Darba Kalan village Sarpanch; General Secretary, Haryana Pradesh Mahila Congress",Unknown (Sarpanch); Current (Mahila Congress),"Darba Kalan (Sarpanch post), Ellenabad (Congress leader)",Sirsa,Haryana
78,HR2024AC47,,,,,,,
79,HR2024AC48,,,,,,,
80,HR2024AC49,,,,,,,
81,HR2024AC50,Father,Mahesh Chander Bhayana,Sarpanch of Lohari Ragho (multiple terms),"Specific years not aggregated, multiple terms before 2009",Lohari Ragho,Hisar,Haryana
82,HR2024AC50,Brother,Narendra Bhayana,"Contested as Congress candidate (2024), joined Congress, contesting/resigned local poll roles (media reports)",2024,"Not explicitly confirmed, but Hisar district (media coverage as Hansi)",Hisar,Haryana
83,HR2024AC53,,,,,,,
84,HR2024AC54,,,,,,,
85,HR2024AC55,,,,,,,
86,HR2024AC57,,,,,,,
87,HR2024AC58,Father,Surender Singh,"Minister, Government of Haryana; Member of Parliament (Lok Sabha)",Minister: Various; MP: 1986–1992,Bhiwani (MP),Bhiwani,Haryana
88,HR2024AC58,Mother,Kiran Choudhry,"Minister, Government of Haryana; Member of Haryana Legislative Assembly",Minister: Various; MLA: 2005–2024,Tosham,Bhiwani,Haryana
89,HR2024AC58,Grandfather,Bansi Lal,Chief Minister of Haryana; Union Defence Minister; MP (Rajya Sabha & Lok Sabha); MLA,"CM: 1968–75, 1985–87, 1996–99; Defence Minister: 1975–77; MP/MLA: Multiple terms","Multiple (Bhiwani, Tosham, etc.)",Bhiwani,Haryana
90,HR2024AC58,Cousin,Anirudh Chaudhary,Contested Haryana Assembly Election 2024,2024 (contested),Tosham,Bhiwani,Haryana
91,HR2024AC59,,,,,,,
92,HR2024AC61,Father,Ranbir Singh Hooda,"Member of Lok Sabha (Rohtak), MLA (Kalanaur & Kiloi), Rajya Sabha MP, Minister in Punjab & Haryana, Member of Constituent Assembly of India",1946–1978 (various terms),"Rohtak (Lok Sabha), Kalanaur/Kiloi (Vidhan Sabha)",Rohtak,Punjab/Haryana
93,HR2024AC61,Son,Deepender Singh Hooda,"Member of Parliament, Lok Sabha; Member of Parliament, Rajya Sabha","2005–2019 (Lok Sabha), 2020–2026 (Rajya Sabha)",Rohtak (Lok Sabha),Rohtak,Haryana
94,HR2024AC62,,,,,,,
95,HR2024AC63,,,,,,,
96,HR2024AC64,Uncle,Rajinder Singh Joon,Member of the Haryana Legislative Assembly,2019-2024,Bahadurgarh,Jhajjar,Haryana
97,HR2024AC66,,,,,,,
98,HR2024AC67,,,,,,,
99,HR2024AC68,Father,Rao Inderjit Singh,"Union Minister of Culture (formerly Defence, Urban Development, and others); Member of Parliament (Lok Sabha); Former MLA, Haryana","MLA (1977-84, 1991-2004), MP (2004-present); various Union Minister portfolios (2004-present)",Gurgaon (Lok Sabha); formerly Ahirwal region (MLA),"Gurgaon, formerly Rewari",Haryana
100,HR2024AC68,Grandfather,Rao Birender Singh,Chief Minister of Haryana; Union Minister; Member of Parliament,"Chief Minister (1967-1968); MP (1971–1977, 1980–1984, 1991–1996); Union Minister (1971–1984, 1991–1996)","Mahendragarh (Lok Sabha), earlier Ahirwal region (various MLA tenures)","Mahendragarh, Rewari",Haryana
101,HR2024AC69,,,,,,,
102,HR2024AC70,,,,,,,
103,HR2024AC71,Husband,Mula Ram,"Former MLA, Candidate (Jannayak Janta Party) for Nangal Chaudhry Assembly Constituency",2019,Nangal Chaudhry,Mahendragarh,Haryana
104,HR2024AC72,Brother-in-law,Harinder Singh,"MLA, Haryana Legislative Assembly",2024-Present,Hodal,Palwal,Haryana
105,HR2024AC73,,,,,,,
106,HR2024AC74,,,,,,,
107,HR2024AC75,,,,,,,
108,HR2024AC76,Father,Mahavir Singh Yadav,"Cabinet Minister, State of Haryana; MLA (multiple terms)","1960s–1980s (exact years vary by source, but confirmed as MLA three times and Cabinet Minister)","Sohna, Gurgaon (varied by term)",Gurgaon,Haryana
109,HR2024AC76,Grandfather,Rao Mohar Singh Yadav,"Member, Punjab Legislative Council (MLC)",1942–1957 (served as legislator from 1942 pre-partition through his death in 1957),Unknown (then Punjab Legislative Council covered broader Punjab including Haryana),Unknown,Punjab (pre-Partition)
110,HR2024AC77,Father,Lilu Ram,"Sarpanch and Block Committee Member, Dhundahera Gram Panchayat",Approx. 25 years,Dhundahera Gram Panchayat,Gurugram,Haryana
111,HR2024AC78,,,,,,,
112,HR2024AC79,Father,Khurshid Ahmed,"MLA (Punjab, Haryana), Cabinet Minister (Haryana), MP (Lok Sabha, Bypoll)","MLA: 1962 (Punjab), 1968, 1977 (Taoru, Haryana), 1987, 1996 (Nuh, Haryana); Minister: thrice between 1968–1996; MP: after 1996","Nuh (Punjab 1962, Haryana multiple terms), Taoru (Haryana)","Mewat (Nuh, Taoru)","Haryana, Punjab"
113,HR2024AC79,Grandfather,Kabir Ahmed,MLA (Haryana),"1975 (Nuh), 1982 (Taoru)","Nuh, Taoru",Mewat,Haryana
114,HR2024AC80,,,,,,,
115,HR2024AC81,Father,Chaudhary Rahim Khan,"Member of Parliament (Lok Sabha), Member of Haryana Legislative Assembly, Minister in Government of Haryana","MP (1984-1987), MLA (1967-1968, 1972-1977, 1982-1987), Minister (dates corresponding to MLA terms)","Faridabad (MP), Nuh (MLA)","Faridabad (MP), Nuh (MLA)",Haryana
116,HR2024AC81,Uncle,Chaudhary Sardar Khan,"Minister of State for Home Affairs, Haryana",Unknown,Unknown,Unknown,Haryana
117,HR2024AC81,Brother,Habib Ur Rehman,Member of Haryana Legislative Assembly (Independent),Unknown,Nuh,Nuh,Haryana
118,HR2024AC82,Father,Jaleb Khan,"MLA, Hathin (Independent)",2009-2014,Hathin,Palwal,Haryana
119,HR2024AC83,,,,,,,
120,HR2024AC84,,,,,,,
121,HR2024AC85,,,,,,,
122,HR2024AC86,,,,,,,
123,HR2024AC87,,,,,,,
124,HR2024AC88,Grandchild (Granddaughter),Parag Sharma,"Contested Assembly Election (INC Candidate, Ballabhgarh)",2024,Ballabhgarh,Faridabad,Haryana
125,HR2024AC88,"Son/Brother/Uncle (Exact Relation Uncertain, Likely Uncle/Nephew)",Yogesh Sharma,"MLA (Lok Dal), Ballabhgarh",1987-1991,Ballabhgarh,Faridabad,Haryana
126,HR2024AC89,,,,,,,
127,HR2024AC90,Father,Roop Singh Nagar,"Known contributor and involved in politics in Faridabad region, but has not held or contested elected office directly",Unknown,Unknown,Faridabad,Haryana
