FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
69,UK2022AC61,Daughter-in-law,Shweta Bisht,Contested Block Pramukh Election,2022,Ramnagar Block,Nainital,Uttarakhand
70,UK2022AC62,,,,,,,
71,UK2022AC63,Father,Harbhajan Singh Cheema,"MLA, Uttarakhand Legislative Assembly",2002-2022 (four terms),Kashipur,Udham Singh Nagar,Uttarakhand
72,UK2022AC64,Son,Sanjeev Arya,"Member of Uttarakhand Legislative Assembly (MLA), Nainital",2017-2022 (Nainital); 2022–present (Nainital),Nainital,Nainital,Uttarakhand
73,UK2022AC65,,,,,,,
74,UK2022AC66,,,,,,,
75,UK2022AC68,Father,Vijay Bahuguna,"Chief Minister of Uttarakhand, Lok Sabha MP (Tehri Garhwal)","2012-2014 (CM), 2007-2012 (MP), 2009-2012 (MP)","Tehri Garhwal (MP), Sitarganj (MLA)","Tehri Garhwal, Udham Singh Nagar",Uttarakhand
76,UK2022AC68,Grandfather,Hemwati Nandan Bahuguna,"Chief Minister of Uttar Pradesh, Union Cabinet Minister, Lok Sabha MP","1973-1975 (CM), multiple terms 1969-1989 (MP)","Phulpur (MP), Allahabad (MP)","Allahabad, others",Uttar Pradesh
77,UK2022AC68,Aunt (Bua),Rita Bahuguna Joshi,"MP, Lok Sabha (Prayagraj), Minister of Women Welfare, UP Government, MLA (Lucknow Cantt.)","2019-present (MP), 2017-2019 (Minister/MLA)","Prayagraj (MP), Lucknow Cantt. (MLA)","Prayagraj, Lucknow",Uttar Pradesh
78,UK2022AC68,Uncle,Shekhar Bahuguna,Lok Sabha candidate (Phulpur),Contested 1991,Phulpur,Allahabad,Uttar Pradesh
79,UK2022AC69,,,,,,,
80,UK2022AC70,,,,,,,
